year,municipality,type_of_debt,mean_debt_euro
2003,Urjala,Loans charged on business activities or a source of income,7209
2003,Valkeakoski,Loans charged on business activities or a source of income,1565
2003,Punkalaidun,Loans charged on business activities or a source of income,16375
2003,Sastamala,Loans charged on business activities or a source of income,5964
2003,Ikaalinen,Loans charged on business activities or a source of income,5185
2003,Kihniö,Loans charged on business activities or a source of income,7563
2003,Parkano,Loans charged on business activities or a source of income,4987
2003,Hämeenkyrö,Loans charged on business activities or a source of income,4214
2003,Kangasala,Loans charged on business activities or a source of income,3125
2003,Lempäälä,Loans charged on business activities or a source of income,2435
2003,Nokia,Loans charged on business activities or a source of income,1209
2003,Orivesi,Loans charged on business activities or a source of income,5302
2003,Pirkkala,Loans charged on business activities or a source of income,2076
2003,Pälkäne,Loans charged on business activities or a source of income,8314
2003,Tampere,Loans charged on business activities or a source of income,1666
2003,Vesilahti,Loans charged on business activities or a source of income,7297
2003,Ylöjärvi,Loans charged on business activities or a source of income,2689
2003,Juupajoki,Loans charged on business activities or a source of income,6092
2003,Mänttä-Vilppula,Loans charged on business activities or a source of income,2831
2003,Ruovesi,Loans charged on business activities or a source of income,5426
2003,Virrat,Loans charged on business activities or a source of income,6437
2003,Joutsa,Loans charged on business activities or a source of income,8466
2003,Luhanka,Loans charged on business activities or a source of income,8112
2003,Hankasalmi,Loans charged on business activities or a source of income,7246
2003,Jyväskylä,Loans charged on business activities or a source of income,1800
2003,Laukaa,Loans charged on business activities or a source of income,3417
2003,Muurame,Loans charged on business activities or a source of income,2477
2003,Petäjävesi,Loans charged on business activities or a source of income,4377
2003,Toivakka,Loans charged on business activities or a source of income,4337
2003,Uurainen,Loans charged on business activities or a source of income,5766
2003,Jämsä,Loans charged on business activities or a source of income,2862
2003,Kuhmoinen,Loans charged on business activities or a source of income,6003
2003,Keuruu,Loans charged on business activities or a source of income,3684
2003,Multia,Loans charged on business activities or a source of income,5402
2003,Kannonkoski,Loans charged on business activities or a source of income,7889
2003,Karstula,Loans charged on business activities or a source of income,5235
2003,Kinnula,Loans charged on business activities or a source of income,739
2003,Kivijärvi,Loans charged on business activities or a source of income,5267
2003,Kyyjärvi,Loans charged on business activities or a source of income,5534
