Municipality,Year,Mental health score
Punkalaidun,2015,0.1664488046195241
Punkalaidun,2016,-0.2997428588969122
Punkalaidun,2017,0.2167286153486255
Punkalaidun,2018,0.9386609762994381
Punkalaidun,2019,0.9220829947650806
Punkalaidun,2020,0.5863466778215636
Punkalaidun,2021,1.0133170589893283
Punkalaidun,2022,1.0612960452203821
Punkalaidun,2023,0.9332864143704548
Puolanka,1997,0.43040601435220915
Puolanka,1998,0.505622458716747
Puolanka,1999,0.8792594652618373
Puolanka,2000,1.368873112639984
Puolanka,2001,1.360716107412573
Puolanka,2002,1.0471429277894546
Puolanka,2003,0.7472415033194275
Puolanka,2004,1.2904396368606499
Puolanka,2005,1.3467327823365347
Puolanka,2006,1.5131453260571215
Puolanka,2007,1.6093013153158775
Puolanka,2008,1.5802524180176438
Puolanka,2009,0.8009880583190389
Puolanka,2010,1.9640053136402225
Puolanka,2011,1.926724736675496
Puolanka,2012,1.9966744890188555
Puolanka,2013,1.588538955397478
Puolanka,2014,1.1340401541960659
Puolanka,2015,1.0741724411840712
Puolanka,2016,1.5549098958723535
Puolanka,2017,1.6058804347625355
Puolanka,2018,2.3140838082412483
Puolanka,2019,2.326180267958605
Puolanka,2020,2.8262226613155885
Puolanka,2021,3.150117046642109
Puolanka,2022,2.735097977731347
Puolanka,2023,2.3449142260520217
Puumala,1997,0.661859361539122
Puumala,1998,0.46645667654111045
Puumala,1999,0.4936055121167738
Puumala,2000,0.792760363094022
Puumala,2001,0.5560932317280157
Puumala,2002,0.8115575956197969
Puumala,2003,0.7933436786080162
Puumala,2004,0.661291981044216
Puumala,2005,1.229136847894252
