Municipality,Year,"Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined"
Jyväskylä,2001,-0.4833691644194031,-0.8323728547521902,0.2013164296678858
Jyväskylä,2002,-0.3944270533582432,-0.6597922779536842,0.2013164296678858
Jyväskylä,2003,-0.37482030729921556,-0.550893053389232,0.2013164296678858
Jyväskylä,2004,-0.4133220456217353,-0.3809319527225893,0.2013164296678858
Jyväskylä,2005,-0.32865045733378867,-0.14724866449430266,0.4971805803564357
Jyväskylä,2006,-0.08997191575576317,0.14411449754448954,0.6841293461351631
Jyväskylä,2007,0.07099139538168732,0.5503310306257728,0.5428375076064852
Jyväskylä,2008,0.28444975059039274,0.8490462444816353,0.6638562198651694
Jyväskylä,2009,0.44193488280415766,0.9246767249993565,0.41207704117857114
Jyväskylä,2010,0.6463016187788847,1.0713406095682019,0.3239070971746688
Jyväskylä,2011,0.9164449507780666,1.0428044412066773,0.3138480397098319
Jyväskylä,2012,1.311896870774321,1.0693695058513857,0.28139408042081654
Jyväskylä,2013,1.6093150604754378,0.80457790507522,0.23565964750060708
Jyväskylä,2014,1.7569968196596883,0.7720586939524733,0.2882317217192968
Jyväskylä,2015,2.0250854803262555,0.662498103737136,0.12941585845105555
Jyväskylä,2016,2.5066324962015276,0.16531995956277865,0.14474060196627433
Jyväskylä,2017,2.836227230119336,0.3525164727223247,0.766173761101959
Jyväskylä,2018,3.624995808725239,0.5894741061154405,1.2978650209856426
Jyväskylä,2019,4.067960496224,1.0341983355071822,1.9569403197905642
Jyväskylä,2020,4.748972561559243,1.1669958166389702,2.0079404387611555
Jyväskylä,2021,5.574899960950585,1.4810291678343475,2.804141530656545
Jyväskylä,2022,5.763218719843964,1.7233334106180451,2.778052898030084
Jyväskylä,2023,5.9010971059987005,2.0180655817126842,3.2253454503823087
Jämijärvi,1997,0.09605040164302382,-1.9466386352430065,-1.441613558457559
Jämijärvi,1998,0.09605040164302382,-1.791246138991895,-1.441613558457559
Jämijärvi,1999,0.09605040164302382,-1.8598818777827837,-1.441613558457559
Jämijärvi,2000,0.09605040164302382,-1.2154453051879615,-1.441613558457559
Jämijärvi,2001,0.09605040164302382,-1.3599830969676263,-1.441613558457559
Jämijärvi,2002,0.09605040164302382,-1.1815086988724277,-1.441613558457559
Jämijärvi,2003,0.09605040164302382,-0.7952073795972572,-1.441613558457559
Jämijärvi,2004,0.09605040164302382,-0.8919486582422503,-1.441613558457559
Jämijärvi,2005,0.09605040164302382,-1.0526339353205156,-1.147321363017108
Jämijärvi,2006,0.09605040164302382,-0.6446681093940448,0.04839357842627213
Jämijärvi,2007,0.09605040164302382,-0.0856785561935134,-0.0568280756812668
Jämijärvi,2008,0.09605040164302382,-0.5052616127512519,-0.09721931688093448
