"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2002","Ruokolahti","Other debts","All household-dwelling units",17230193,6485
"2002","Ruokolahti","Loans charged on business activities or a source of income","All household-dwelling units",8847761,3330
"2002","Ruokolahti","Study loans","All household-dwelling units",1135828,427
"2002","Lappeenranta","Debts total","All household-dwelling units",831859400,24536
"2002","Lappeenranta","Housing loans","All household-dwelling units",565412418,16677
"2002","Lappeenranta","Other debts","All household-dwelling units",173141134,5107
"2002","Lappeenranta","Loans charged on business activities or a source of income","All household-dwelling units",64464587,1901
"2002","Lappeenranta","Study loans","All household-dwelling units",28841358,851
"2002","Lemi","Debts total","All household-dwelling units",45808455,35649
"2002","Lemi","Housing loans","All household-dwelling units",28484842,22167
"2002","Lemi","Other debts","All household-dwelling units",8554138,6657
"2002","Lemi","Loans charged on business activities or a source of income","All household-dwelling units",8188567,6372
"2002","Lemi","Study loans","All household-dwelling units",580902,452
"2002","Luumäki","Debts total","All household-dwelling units",54322189,22355
"2002","Luumäki","Housing loans","All household-dwelling units",28697952,11810
"2002","Luumäki","Other debts","All household-dwelling units",13323517,5483
"2002","Luumäki","Loans charged on business activities or a source of income","All household-dwelling units",11421225,4700
"2002","Luumäki","Study loans","All household-dwelling units",879500,362
"2002","Savitaipale","Debts total","All household-dwelling units",37357300,20182
"2002","Savitaipale","Housing loans","All household-dwelling units",18770186,10141
"2002","Savitaipale","Other debts","All household-dwelling units",9725928,5254
"2002","Savitaipale","Loans charged on business activities or a source of income","All household-dwelling units",8115999,4385
"2002","Savitaipale","Study loans","All household-dwelling units",745196,403
"2002","Taipalsaari","Debts total","All household-dwelling units",78902285,42489
"2002","Taipalsaari","Housing loans","All household-dwelling units",50378858,27129
"2002","Taipalsaari","Other debts","All household-dwelling units",16812371,9054
"2002","Taipalsaari","Loans charged on business activities or a source of income","All household-dwelling units",10679677,5751
"2002","Taipalsaari","Study loans","All household-dwelling units",1031368,555
"2002","Jämijärvi","Debts total","All household-dwelling units",26668833,29178
"2002","Jämijärvi","Housing loans","All household-dwelling units",10559630,11553
"2002","Jämijärvi","Other debts","All household-dwelling units",6551130,7168
"2002","Jämijärvi","Loans charged on business activities or a source of income","All household-dwelling units",9201100,10067
"2002","Jämijärvi","Study loans","All household-dwelling units",356969,391
"2002","Kankaanpää","Debts total","All household-dwelling units",173857810,26842
"2002","Kankaanpää","Housing loans","All household-dwelling units",88857880,13719
"2002","Kankaanpää","Other debts","All household-dwelling units",46872683,7237
"2002","Kankaanpää","Loans charged on business activities or a source of income","All household-dwelling units",34008141,5251
"2002","Kankaanpää","Study loans","All household-dwelling units",4119097,636
"2002","Karvia","Debts total","All household-dwelling units",35775508,28782
"2002","Karvia","Housing loans","All household-dwelling units",11199652,9010
"2002","Karvia","Other debts","All household-dwelling units",14659525,11794
"2002","Karvia","Loans charged on business activities or a source of income","All household-dwelling units",9634235,7751
"2002","Karvia","Study loans","All household-dwelling units",282112,227
"2002","Siikainen","Debts total","All household-dwelling units",18783797,23048
"2002","Siikainen","Housing loans","All household-dwelling units",7371870,9045
"2002","Siikainen","Other debts","All household-dwelling units",4060647,4982
"2002","Siikainen","Loans charged on business activities or a source of income","All household-dwelling units",7106048,8719
"2002","Siikainen","Study loans","All household-dwelling units",245238,301
"2002","Harjavalta","Debts total","All household-dwelling units",80006708,21747
"2002","Harjavalta","Housing loans","All household-dwelling units",48948490,13305
"2002","Harjavalta","Other debts","All household-dwelling units",18665549,5074
"2002","Harjavalta","Loans charged on business activities or a source of income","All household-dwelling units",10369191,2818
"2002","Harjavalta","Study loans","All household-dwelling units",2023504,550
"2002","Huittinen","Debts total","All household-dwelling units",160931228,32571
"2002","Huittinen","Housing loans","All household-dwelling units",70356127,14239
"2002","Huittinen","Other debts","All household-dwelling units",35773519,7240
"2002","Huittinen","Loans charged on business activities or a source of income","All household-dwelling units",52430042,10611
"2002","Huittinen","Study loans","All household-dwelling units",2371583,480
"2002","Kokemäki","Debts total","All household-dwelling units",92081793,24118
"2002","Kokemäki","Housing loans","All household-dwelling units",46907435,12286
"2002","Kokemäki","Other debts","All household-dwelling units",17456095,4572
"2002","Kokemäki","Loans charged on business activities or a source of income","All household-dwelling units",25938075,6794
"2002","Kokemäki","Study loans","All household-dwelling units",1780194,466
"2002","Merikarvia","Debts total","All household-dwelling units",34331226,21205
"2002","Merikarvia","Housing loans","All household-dwelling units",16651534,10285
"2002","Merikarvia","Other debts","All household-dwelling units",10170143,6282
"2002","Merikarvia","Loans charged on business activities or a source of income","All household-dwelling units",7001141,4324
"2002","Merikarvia","Study loans","All household-dwelling units",508430,314
"2002","Nakkila","Debts total","All household-dwelling units",75996245,29674
"2002","Nakkila","Housing loans","All household-dwelling units",41583227,16237
"2002","Nakkila","Other debts","All household-dwelling units",18951835,7400
"2002","Nakkila","Loans charged on business activities or a source of income","All household-dwelling units",14045023,5484
"2002","Nakkila","Study loans","All household-dwelling units",1416200,553
"2002","Pomarkku","Debts total","All household-dwelling units",25522466,22973
"2002","Pomarkku","Housing loans","All household-dwelling units",12720578,11450
"2002","Pomarkku","Other debts","All household-dwelling units",6410599,5770
"2002","Pomarkku","Loans charged on business activities or a source of income","All household-dwelling units",5996431,5397
"2002","Pomarkku","Study loans","All household-dwelling units",394856,355
"2002","Pori","Debts total","All household-dwelling units",994589372,24631
"2002","Pori","Housing loans","All household-dwelling units",649429552,16083
"2002","Pori","Other debts","All household-dwelling units",232428181,5756
"2002","Pori","Loans charged on business activities or a source of income","All household-dwelling units",83649311,2072
"2002","Pori","Study loans","All household-dwelling units",29082352,720
"2002","Ulvila","Debts total","All household-dwelling units",180783611,30924
"2002","Ulvila","Housing loans","All household-dwelling units",116474181,19924
"2002","Ulvila","Other debts","All household-dwelling units",41511722,7101
"2002","Ulvila","Loans charged on business activities or a source of income","All household-dwelling units",19448544,3327
"2002","Ulvila","Study loans","All household-dwelling units",3349102,573
"2002","Eura","Debts total","All household-dwelling units",147903433,26113
"2002","Eura","Housing loans","All household-dwelling units",72948655,12879
"2002","Eura","Other debts","All household-dwelling units",36860410,6508
"2002","Eura","Loans charged on business activities or a source of income","All household-dwelling units",36076197,6369
"2002","Eura","Study loans","All household-dwelling units",2018173,356
"2002","Eurajoki","Debts total","All household-dwelling units",127016569,33826
"2002","Eurajoki","Housing loans","All household-dwelling units",67967942,18101
