year,municipality,type_of_debt,mean_debt_euro
2004,Jämijärvi,Debts total,36788
2004,Kankaanpää,Debts total,30222
2004,Karvia,Debts total,34669
2004,Siikainen,Debts total,27511
2004,Harjavalta,Debts total,25032
2004,Huittinen,Debts total,38191
2004,Kokemäki,Debts total,28037
2004,Merikarvia,Debts total,23975
2004,Nakkila,Debts total,34248
2004,Pomarkku,Debts total,24005
2004,Pori,Debts total,30195
2004,Ulvila,Debts total,36722
2004,Eura,Debts total,31050
2004,Eurajoki,Debts total,40645
2004,Rauma,Debts total,31591
2004,Säkylä,Debts total,34660
2004,Akaa,Debts total,35687
2004,Urjala,Debts total,29199
2004,Valkeakoski,Debts total,30197
2004,Punkalaidun,Debts total,30994
2004,Sastamala,Debts total,31296
2004,Ikaalinen,Debts total,30504
2004,Kihniö,Debts total,26923
2004,Parkano,Debts total,25584
2004,Hämeenkyrö,Debts total,32374
2004,Kangasala,Debts total,46001
2004,Lempäälä,Debts total,49350
2004,Nokia,Debts total,41064
2004,Orivesi,Debts total,32514
2004,Pirkkala,Debts total,53479
2004,Pälkäne,Debts total,39799
2004,Tampere,Debts total,29685
2004,Vesilahti,Debts total,50194
2004,Ylöjärvi,Debts total,47899
2004,Juupajoki,Debts total,32440
2004,Mänttä-Vilppula,Debts total,25067
2004,Ruovesi,Debts total,26984
2004,Virrat,Debts total,27139
2004,Joutsa,Debts total,28644
2004,Luhanka,Debts total,24261
2004,Hankasalmi,Debts total,29161
2004,Jyväskylä,Debts total,32392
2004,Laukaa,Debts total,42445
2004,Muurame,Debts total,50656
2004,Petäjävesi,Debts total,29489
2004,Toivakka,Debts total,31670
2004,Uurainen,Debts total,38253
2004,Jämsä,Debts total,29418
2004,Kuhmoinen,Debts total,24943
2004,Keuruu,Debts total,27139
2004,Multia,Debts total,24439
2004,Kannonkoski,Debts total,24277
2004,Karstula,Debts total,26909
2004,Kinnula,Debts total,25857
2004,Kivijärvi,Debts total,19207
2004,Kyyjärvi,Debts total,22639
2004,Pihtipudas,Debts total,28429
2004,Saarijärvi,Debts total,28402
2004,Viitasaari,Debts total,25783
2004,Konnevesi,Debts total,31137
2004,Äänekoski,Debts total,29808
2004,Alajärvi,Debts total,29527
2004,Evijärvi,Debts total,41236
2004,Lappajärvi,Debts total,23917
2004,Soini,Debts total,25099
2004,Vimpeli,Debts total,30100
2004,Alavus,Debts total,28923
2004,Kuortane,Debts total,28259
2004,Ähtäri,Debts total,27742
2004,Ilmajoki,Debts total,43994
2004,Kauhava,Debts total,33435
2004,Kurikka,Debts total,34060
2004,Lapua,Debts total,37300
2004,Seinäjoki,Debts total,40689
2004,Isojoki,Debts total,27198
2004,Karijoki,Debts total,33812
2004,Kauhajoki,Debts total,37852
2004,Teuva,Debts total,30275
2004,Kruunupyy,Debts total,44321
2004,Luoto,Debts total,59879
2004,Pedersören kunta,Debts total,52179
2004,Pietarsaari,Debts total,38858
2004,Uusikaarlepyy,Debts total,37822
2004,Isokyrö,Debts total,38225
2004,Laihia,Debts total,41385
2004,Kaskinen,Debts total,29004
2004,Kristiinankaupunki,Debts total,33589
