year,municipality,type_of_debt,mean_debt_euro
2004,Pirkkala,Other debts,8568
2004,Pälkäne,Other debts,8993
2004,Tampere,Other debts,5557
2004,Vesilahti,Other debts,8768
2004,Ylöjärvi,Other debts,8348
2004,Juupajoki,Other debts,8790
2004,Mänttä-Vilppula,Other debts,8336
2004,Ruovesi,Other debts,5810
2004,Virrat,Other debts,7082
2004,Joutsa,Other debts,6249
2004,Luhanka,Other debts,6412
2004,Hankasalmi,Other debts,6987
2004,Jyväskylä,Other debts,5650
2004,Laukaa,Other debts,7649
2004,Muurame,Other debts,8561
2004,Petäjävesi,Other debts,5385
2004,Toivakka,Other debts,8524
2004,Uurainen,Other debts,9016
2004,Jämsä,Other debts,7634
2004,Kuhmoinen,Other debts,7697
2004,Keuruu,Other debts,7300
2004,Multia,Other debts,5936
2004,Kannonkoski,Other debts,6255
2004,Karstula,Other debts,7773
2004,Kinnula,Other debts,12016
2004,Kivijärvi,Other debts,5953
2004,Kyyjärvi,Other debts,7907
2004,Pihtipudas,Other debts,14685
2004,Saarijärvi,Other debts,6006
2004,Viitasaari,Other debts,8696
2004,Konnevesi,Other debts,7982
2004,Äänekoski,Other debts,6092
2004,Alajärvi,Other debts,6973
2004,Evijärvi,Other debts,10638
2004,Lappajärvi,Other debts,6214
2004,Soini,Other debts,6769
2004,Vimpeli,Other debts,7506
2004,Alavus,Other debts,6809
2004,Kuortane,Other debts,7622
2004,Ähtäri,Other debts,7989
2004,Ilmajoki,Other debts,9978
2004,Kauhava,Other debts,7432
2004,Kurikka,Other debts,8476
2004,Lapua,Other debts,8570
2004,Seinäjoki,Other debts,8367
2004,Isojoki,Other debts,4495
2004,Karijoki,Other debts,6700
2004,Kauhajoki,Other debts,6765
2004,Teuva,Other debts,6833
2004,Kruunupyy,Other debts,11451
2004,Luoto,Other debts,14327
2004,Pedersören kunta,Other debts,12305
2004,Pietarsaari,Other debts,8670
2004,Uusikaarlepyy,Other debts,9629
2004,Isokyrö,Other debts,8612
2004,Laihia,Other debts,9125
2004,Kaskinen,Other debts,6969
2004,Kristiinankaupunki,Other debts,7941
